ACOM,0
ACTIVE AERO,1
AEROCENTER,2
AEROCESAR,3
AEROPERLAS,4
AEROPUMA,5
AEROSOL,6
AEROSUN,7
AEROVARADERO,8
AEROWEE,9
AIR CLASS,10
AIR FREIGHTER,11
AIR PRINT,12
AIR-MAUR,13
AIREX,14
AIRFLIGHT,15
AIRMAN,16
AIRNAT,17
AIRPAC,18
AIRPORT HELICOPTER,19
AIRWAVE,20
ALAMO,21
ALASKA,22
ALASKA PACIFIC,23
ALCON,24
ALDAWLYH AIR,25
ALL STAR,26
ALNACIONAL,27
ANTARES,28
APPALACHIAN,29
AQUILINE,30
ARIZAIR,31
ARMSTRONG,32
ASA PESADA,33
ASTORIA,34
ASUR,35
ATCO,36
ATLANTIC NICARAGUA,37
ATLANTIS CANADA,38
AUDI AIR,39
AURORA AIR,40
AUSA,41
AVEMEX,42
AVIANCA,43
AVINOR,44
AVIOQUINTANA,45
AZIMUT,46
Afghanistan,47
Air S,48
Albania,49
Algeria,50
American Samoa,51
Angola,52
Antigua and Barbuda,53
Argentina,54
Armenia,55
Aruba,56
Australia,57
Austria,58
Azerbaijan,59
Bahamas,60
Bahrain,61
Bangladesh,62
Barbados,63
Belarus,64
Belgium,65
Belize,66
Benin,67
Bermuda,68
Bhutan,69
Bolivia,70
Boonville Stage Line,71
Bosnia and Herzegovina,72
Botswana,73
Brazil,74
British Virgin Islands,75
Brunei,76
Bulgaria,77
Burkina Faso,78
Burma,79
Burundi,80
COMPANY AS,81
Cambodia,82
Cameroon,83
Canada,84
Canadian Territories,85
Cape Verde,86
Cayman Islands,87
Central African Republic,88
Chad,89
Chile,90
China,91
Colombia,92
Comoros,93
Congo (Brazzaville),94
Congo (Kinshasa),95
Cook Islands,96
Costa Rica,97
Cote d'Ivoire,98
Croatia,99
Cuba,100
Cyprus,101
Czech Republic,102
DRAGON,103
Democratic People's Republic of Korea,104
Democratic Republic of Congo,105
Democratic Republic of the Congo,106
Denmark,107
Djibouti,108
Dominican Republic,109
Ecuador,110
Egypt,111
El Salvador,112
Equatorial Guinea,113
Eritrea,114
Estonia,115
Ethiopia,116
Faroe Islands,117
Fiji,118
Finland,119
France,120
French Guiana,121
French Polynesia,122
Gabon,123
Gambia,124
Georgia,125
Germany,126
Ghana,127
Greece,128
Guadeloupe,129
Guatemala,130
Guinea,131
Guinea-Bissau,132
Guyana,133
Haiti,134
Honduras,135
Hong Kong,136
Hong Kong SAR of China,137
Hungary,138
Iceland,139
India,140
Indonesia,141
Iran,142
Iraq,143
Ireland,144
Israel,145
Italy,146
Ivory Coast,147
Jamaica,148
Japan,149
Jordan,150
Kazakhstan,151
Kenya,152
Kiribati,153
Kuwait,154
Kyrgyzstan,155
LAP,156
Lao Peoples Democratic Republic,157
Latvia,158
Lebanon,159
Liberia,160
Libya,161
Lithuania,162
Luxembourg,163
Macao,164
Macedonia,165
Madagascar,166
Malawi,167
Malaysia,168
Maldives,169
Mali,170
Malta,171
Marshall Islands,172
Mauritania,173
Mauritius,174
Mexico,175
Moldova,176
Monaco,177
Mongolia,178
Montenegro,179
Montserrat,180
Morocco,181
Mozambique,182
Myanmar,183
Namibia,184
Nauru,185
Nepal,186
Netherland,187
Netherlands,188
Netherlands Antilles,189
New Zealand,190
Nicaragua,191
Niger,192
Nigeria,193
Norway,194
ODINN,195
Oman,196
Pakistan,197
Palau,198
Panama,199
Papua New Guinea,200
Paraguay,201
Peru,202
Philippines,203
Poland,204
Portugal,205
Puerto Rico,206
Qatar,207
RENTAXEL,208
Republic of Korea,209
Republic of the Congo,210
Reunion,211
Romania,212
Russia,213
Russia]],214
Russian Federation,215
Rwanda,216
S,217
S.A.,218
SCHEFF,219
SWISSBIRD,220
Saint Kitts and Nevis,221
Saint Lucia,222
Saint Vincent and the Grenadines,223
Samoa,224
Sao Tome and Principe,225
Saudi Arabia,226
Senegal,227
Serbia,228
Seychelles,229
Sierra Leone,230
Singapore,231
Slovakia,232
Slovenia,233
Solomon Islands,234
Somali Republic,235
South Africa,236
South Korea,237
South Sudan,238
Spain,239
Sri Lanka,240
Sudan,241
Suriname,242
Swaziland,243
Sweden,244
Switzerland,245
Syria,246
Syrian Arab Republic,247
Taiwan,248
Tajikistan,249
Tanzania,250
Thailand,251
Togo,252
Tonga,253
Trinidad and Tobago,254
Tunisia,255
Turkey,256
Turkmenistan,257
Turks and Caicos Islands,258
UNIFORM OSCAR,259
UNited Kingdom,260
Uganda,261
Ukraine,262
United Arab Emirates,263
United Kingdom,264
United States,265
Uruguay,266
Uzbekistan,267
VELES,268
Vanuatu,269
Venezuela,270
Vietnam,271
WATCHDOG,272
Yemen,273
Zambia,274
Zimbabwe,275
\N,276
